Milk,Grocery
9656,7561
9810,9568
8808,7684
1196,4221
5410,7198
8259,5126
3199,6975
4956,9426
3648,6192
11093,18881
5403,12974
1124,4523
12319,11757
6208,14982
9465,12091
1114,3821
8816,12121
6157,2933
6327,10099
2495,9464
4519,4602
871,2010
1917,4469
36423,22019
9776,13792
4230,7595
961,2861
803,3045
20484,25957
2100,2609
3610,11107
4339,3133
1318,2886
4786,7326
1979,2262
5491,11091
4362,5428
10556,12477
15729,16709
555,902
4332,4757
3065,5956
7555,14961
11095,23998
7027,10471
22044,21531
14069,21955
54259,55571
6152,10868
21412,28921
1095,1980
4051,6996
3916,5876
10473,11532
1449,1947
3683,5005
29892,26866
9933,10487
1970,1648
5360,8040
3045,7854
38369,59598
6245,6544
11601,15775
1227,3250
20959,45828
1534,7417
6759,13462
7260,3993
2820,1293
2037,3202
1266,21042
5139,2661
5332,8713
6343,9794
1137,3
3587,6532
12697,28540
1175,2067
3259,3655
829,3009
9540,14403
9232,11009
1563,1783
3327,4814
46197,92780
73498,32114
5025,8117
542,4042
3836,5330
596,1638
2762,2530
27472,32034
3090,2062
12220,11323
2920,6252
2616,8118
254,610
112,778
2182,1909
7779,12144
10810,16267
6459,7677
3504,8906
2132,3445
1014,3970
6337,10704
10646,14886
8397,6981
16729,28986
1648,1694
11114,17569
2770,2469
2295,1733
1080,2000
793,2988
2521,3355
3880,5380
1891,2362
2344,2147
1200,3412
3234,1498
201,245
10769,8814
1642,2961
3473,7102
1840,1658
7243,10685
8847,3823
926,1510
2428,699
589,314
2032,2479
1042,1235
1882,2174
1289,2591
8579,7030
8080,8282
4257,5034
4979,3343
4280,7305
13252,5189
7152,8253
1596,1096
3677,1988
8384,34792
1936,2177
3373,2707
584,542
1433,1651
1825,1765
3328,2022
1371,3135
9250,2368
55,137
10690,19460
5291,14855
1366,2474
6570,9618
7704,14682
3651,12822
540,283
2024,3810
15726,26870
7603,8584
12653,19858
6721,9170
3195,3268
735,803
717,2155
8675,13430
25862,19816
5479,6536
7677,19805
1208,5241
7845,11874
6958,6536
7330,4533
7075,4945
4888,2500
6036,8887
29627,18148
8533,10518
43950,20170
918,4710
6448,1139
521,854
8002,9819
7639,11687
11577,11522
6250,1981
295,1381
1461,2251
3485,20292
1012,2974
5139,5230
7209,4897
7097,10391
2154,6824
2280,2112
13240,23127
14399,24708
11487,9490
685,2216
891,5226
11711,23596
780,950
4737,6089
3748,5838
12729,16767
1895,1393
28326,39694
1012,2062
6602,6861
6551,11364
10765,15538
16599,36486
1475,2046
7504,15205
367,1390
899,1382
7503,10646
1115,2856
2527,5265
659,1499
3243,4157
5921,9212
2204,1563
577,572
2746,2501
5989,5615
10678,3828
1780,3838
4984,3316
2703,3833
6380,2824
820,3047
3838,593
475,585
2567,3779
3575,7041
1801,2475
659,2914
3576,5119
7775,10817
6154,13916
2428,1777
346,489
5279,2406
3795,2070
1993,1799
23133,33586
1860,4740
7961,16966
17972,4748
489,1495
5008,5249
1931,1883
4563,2124
4959,7336
4885,2157
1110,1094
1372,1677
1115,6684
9679,15445
23527,13699
9763,22182
1222,2576
8053,19847
258,1138
1032,975
5007,1563
8323,6869
3045,1493
1703,1841
1610,223
3749,6964
829,683
2317,2543
6200,9694
2884,2431
7108,6235
3965,4252
3613,2013
4411,12609
640,3600
2247,1242
2102,2828
594,1296
286,471
2160,2642
3354,3261
3086,4329
11103,12469
2013,6550
1897,5234
1304,3643
3199,6986
4560,9965
879,2060
6243,6360
13316,20399
5302,9785
3688,13829
7460,24773
12939,8852
12867,21570
2374,2842
1020,3007
20655,13567
1492,2405
2335,8280
3737,19172
925,2405
1795,7647
14982,11924
1375,2201
3088,6114
2713,3558
25071,17645
3696,2280
1897,5167
713,3315
944,11593
3587,2464
16784,13626
1610,1431
899,1664
2209,3389
1486,4583
1786,5109
14881,26839
3216,1447
4980,67298
928,2743
6817,10790
1511,1330
1347,2611
333,7021
1188,5332
4025,9670
5763,11238
5758,5923
6964,26316
1172,1763
2602,8335
6939,15541
7184,12311
2380,2028
14641,20521
1099,1997
10044,22294
1106,1533
6264,21203
7393,2548
727,2012
134,218
1275,22272
18664,1660
5878,2109
2872,2006
607,864
1601,2453
997,4438
873,1524
6128,8025
2217,1664
894,534
1196,2406
337,683
3944,4955
1887,1939
3801,1641
6257,7398
2256,1668
1450,1162
8630,13586
3154,2648
3294,1902
5164,10391
944,2146
4591,1617
7435,8469
1364,3450
21858,15400
922,1614
3620,2857
1916,1573
848,1172
1530,1422
1181,1328
2761,2313
4180,3600
6730,3842
865,3204
1316,1263
11991,9345
1666,1428
1032,582
577,935
906,1238
2801,2128
4753,5091
11006,4604
4613,3444
1046,1167
5010,5026
12844,18683
3880,6407
3634,6100
2096,4563
3289,3281
3605,12400
4859,6633
1990,3417
6046,8552
10940,10908
5499,11055
8494,18622
3783,2223
5266,13227
4847,9053
1377,4172
3686,4657
2884,12232
2408,2593
9347,14316
16687,5429
5970,4910
1750,3580
4230,16483
5506,5160
1162,4754
3218,1493
3922,7994
12051,16027
1431,764
15488,30243
1981,2232
1698,2510
